Category,Key,English,Swahili,File,Line
"switch-to-this-store","Switch to this store","","components/merchants/StoresList.tsx",127
"total-products","Total Products","","components/merchants/StatsCards.tsx",17
"active","active","","components/merchants/StatsCards.tsx",19
"monthly-revenue","Monthly Revenue","","components/merchants/StatsCards.tsx",25
"orders-today","Orders Today","","components/merchants/StatsCards.tsx",33
"store-rating","Store Rating","","components/merchants/StatsCards.tsx",41
"recent-products","Recent Products","","components/merchants/RecentProducts.tsx",30
"your-latest-products","Your latest products","","components/merchants/RecentProducts.tsx",32
"view-all-products","View All Products","","components/merchants/RecentProducts.tsx",38
"stock","Stock","","components/merchants/RecentProducts.tsx",76
"success","Success","","components/merchants/OrdersTabs.tsx",44
"error","Error","","components/merchants/OrdersTabs.tsx",54
"failed-to-update-order","Failed to update order","","components/merchants/OrdersTabs.tsx",55
"failed-to-update-order-status","Failed to update order status","","components/merchants/OrdersTabs.tsx",62
"active-orders","Active Orders","","components/merchants/OrdersTabs.tsx",76
"history","History","","components/merchants/OrdersTabs.tsx",91
"merchant-profile","Merchant Profile","","components/merchants/MerchantProfile.tsx",52
"manage-your-store-information-and-switch-between-stores","Manage your store information and switch between stores","","components/merchants/MerchantProfile.tsx",55
"pending-verification","Pending Verification","","components/merchants/MerchantProfile.tsx",112
"store-information","Store Information","","components/merchants/MerchantProfile.tsx",128
"phone","Phone","","components/merchants/MerchantProfile.tsx",135
"not-provided","Not provided","","components/merchants/MerchantProfile.tsx",137
"location","Location","","components/merchants/MerchantProfile.tsx",145
"member-since","Member Since","","components/merchants/MerchantProfile.tsx",155
"rating","Rating","","components/merchants/MerchantProfile.tsx",166
"delivery-time","Delivery Time","","components/merchants/MerchantProfile.tsx",179
"exit-merchant-mode","Exit Merchant Mode","","components/merchants/MerchantProfile.tsx",192
"return-to-customer-mode-to-browse-and-order-from-stores","Return to customer mode to browse and order from stores","","components/merchants/MerchantProfile.tsx",196
"switch-to-customer-mode","Switch to Customer Mode","","components/merchants/MerchantProfile.tsx",204
"notifications","Notifications","","components/merchants/MerchantNotifications.tsx",109
"no-notifications","No notifications","","components/merchants/MerchantNotifications.tsx",122
"view-all-notifications","View all notifications","","components/merchants/MerchantNotifications.tsx",168
"cancelled","Cancelled","","components/merchants/HistoryOrders.tsx",138
"rejected","Rejected","","components/merchants/HistoryOrders.tsx",138
"revenue","Revenue","","components/merchants/HistoryOrders.tsx",151
"search-by-order-id-or-customer","Search by order ID or customer...","","components/merchants/HistoryOrders.tsx",168
"sort-by-date","Sort by Date","","components/merchants/HistoryOrders.tsx",195
"sort-by-amount","Sort by Amount","","components/merchants/HistoryOrders.tsx",196
"showing","Showing","","components/merchants/HistoryOrders.tsx",205
"clear-filters","Clear filters","","components/merchants/HistoryOrders.tsx",217
"no-orders-match-your-filters","No orders match your filters","","components/merchants/HistoryOrders.tsx",230
"order","Order","","components/merchants/HistoryOrders.tsx",256
"item","item","","components/merchants/HistoryOrders.tsx",300
